,wl,flux
926,4333.4,0.018997588620957132
927,4334.3,0.019292684659473643
928,4335.2,0.01919707250559385
929,4336.1,0.019015712263345426
930,4337.0,0.018937778653874485
931,4337.9,0.01898311143878207
932,4338.8,0.01914377598732716
933,4339.7,0.019246413950026475
934,4340.6,0.01913078923657046
935,4341.5,0.019167719178244298
936,4342.4,0.0194455115481343
937,4343.3,0.019430043115361836
938,4344.2,0.019496011636672157
939,4345.1,0.019624491323116357
940,4346.0,0.01981130762748197
941,4346.9,0.020097912175210012
942,4347.8,0.02026612327923203
943,4348.7,0.020529717755810462
944,4349.6,0.020680922880010118
945,4350.5,0.02114465843630399
946,4351.4,0.02156605989022145
947,4352.3,0.021807054217196982
948,4353.2,0.02208810000264458
949,4354.1,0.022470049372007438
950,4355.0,0.0227146464631405
951,4355.9,0.022929178643802027
952,4356.8,0.023194657622873455
953,4357.7,0.023404766191302665
954,4358.6,0.023488455096009143
955,4359.5,0.023495407170479595
956,4360.4,0.023582349958149795
957,4361.3,0.023902775365576223
958,4362.2,0.024171911313230463
959,4363.1,0.02412669294079724
960,4364.0,0.0240884944801
961,4364.9,0.02412075014067655
962,4365.8,0.02408498154446448
963,4366.7,0.02418752733692069
964,4367.6,0.02423404660346847
965,4368.5,0.02439929734533397
966,4369.4,0.02434430254702685
967,4370.3,0.02418611020228394
968,4371.2,0.024146262863021992
969,4372.1,0.024302696921772695
970,4373.0,0.024418617949756128
971,4373.9,0.02431594423279606
972,4374.8,0.024230755121075018
973,4375.7,0.02403690766331817
974,4376.6,0.024043895995976464
975,4377.5,0.02415323367527554
976,4378.4,0.024081865185246822
977,4379.3,0.024058903320256852
978,4380.2,0.024183426849853005
979,4381.1,0.02422135094898414
980,4382.0,0.02429683939666062
981,4382.9,0.024213368147141607
982,4383.8,0.02407303166185473
983,4384.7,0.02409990066243661
984,4385.6,0.024142744448634876
985,4386.5,0.024246493761009763
986,4387.4,0.024442234120623723
987,4388.3,0.02433279500193036
988,4389.2,0.02413734975162268
989,4390.1,0.02408169151167613
990,4391.0,0.02411954494124273
991,4391.9,0.023883538134845485
992,4392.8,0.023931968558956396
993,4393.7,0.023841563884299734
994,4394.6,0.02398352097350718
995,4395.5,0.0240401804414783
996,4396.4,0.023978124279139538
997,4397.3,0.0239716458219534
998,4398.2,0.02392492020700108
999,4399.1,0.02412320138936154
1000,4400.0,0.024064751130597983
1001,4400.9,0.02398677896613561
1002,4401.8,0.024008502564457777
1003,4402.7,0.024104904834066937
1004,4403.6,0.024129199287967994
1005,4404.5,0.02392201076671514
1006,4405.4,0.024180167427765714
1007,4406.3,0.024293073555610344
1008,4407.2,0.024336368810997842
1009,4408.1,0.024380237796076797
1010,4409.0,0.024346136520116732
1011,4409.9,0.02420698218213759
1012,4410.8,0.024274153271338365
1013,4411.7,0.024243997101666435
1014,4412.6,0.024325196703978296
1015,4413.5,0.024179309001582706
1016,4414.4,0.024146737089380033
1017,4415.3,0.024276029315521624
1018,4416.2,0.02436369787296235
1019,4417.1,0.02441910115076931
1020,4418.0,0.024180080524012017
1021,4418.9,0.024205596677230996
1022,4419.8,0.02421309777920128
1023,4420.7,0.02416672075233073
1024,4421.6,0.024127712493727336
1025,4422.5,0.024131306156492047
1026,4423.4,0.024085259738146552
1027,4424.3,0.024170800584777028
1028,4425.2,0.02397720399778224
1029,4426.1,0.02406185403805341
1030,4427.0,0.024102605791272987
1031,4427.9,0.024033893584628752
1032,4428.8,0.024040340819878867
1033,4429.7,0.024018180338560895
1034,4430.6,0.02427041532153489
1035,4431.5,0.023986185345494952
